"縣 市 別","總計家數","總計資本額","農、林、漁、牧業家數","農、林、漁、牧業資本額","礦業及土石採取業家數","礦業及土石採取業資本額","製造業家數","製造業資本額","電力及燃氣供應業家數","電力及燃氣供應業資本額","用水供應及污染整治業家數","用水供應及污染整治業資本額","營造業家數","營造業資本額","批發及零售業家數","批發及零售業資本額","運輸及倉儲業家數","運輸及倉儲業資本額","住宿及餐飲業家數","住宿及餐飲業資本額","資訊及通訊傳播業家數","資訊及通訊傳播業資本額","金融及保險業家數","金融及保險業資本額","不動產業家數","不動產業資本額","專業、科學及技術服務業家數","專業、科學及技術服務業資本額","支援服務業家數","支援服務業資本額","公共行政及國防；強制性社會安全家數","公共行政及國防；強制性社會安全資本額","教育服務業家數","教育服務業資本額","醫療保健及社會工作服務業家數","醫療保健及社會工作服務業資本額","藝術、娛樂及休閒服務業家數","藝術、娛樂及休閒服務業資本額","其他服務業家數","其他服務業資本額","未分類家數","未分類資本額"
"總計","640286","21481468.293013","12194","514483.448913","3844","250248.766388","184049","8080049.752426","2393","808660.246386","3598","176349.191007","97703","1069598.009849","119111","973767.600487","15775","753921.870986","6391","63956.878176","21274","533848.427446","32206","6012203.453173","29853","1115627.985921","48902","355512.219874","15005","270615.178074","96","184.451","325","1907.164426","55","226.85","2067","72208.767722","12241","135076.182813","33204","293021.847946"
"   臺灣地區","639134","21462089.705073","12099","512978.588913","3821","249992.065388","183937","8072889.331426","2384","808609.746386","3594","176330.191007","97366","1067165.442849","119028","973042.415487","15664","749981.485986","6372","63412.342236","21260","533706.027446","32174","6011636.525173","29712","1114694.990921","48849","355206.389874","14923","270135.178074","96","184.451","325","1907.164426","55","226.85","2060","72002.567722","12232","135033.782813","33183","292954.167946"
"      新北市","124618","1993899.631716","1417","35649.446946","326","8795.654328","46772","1139806.096954","359","29279.86587","623","4682.232553","20777","152041.988147","19153","126676.901192","1747","46280.813761","544","4763.34579","4073","48612.389627","4091","158489.753277","4326","113367.511394","8519","52572.112374","2185","17806.719309","6","14.8","56","180.51","9","28.1","240","3187.656665","2304","15132.929736","7091","36530.803793"
"      臺北市","169094","10928665.428852","2190","179946.249402","440","81462.404794","28070","1964363.629271","478","576952.1631","470","8837.043589","19937","452866.243966","41429","494710.026166","5403","337433.816577","1452","22144.314224","9261","404991.862485","15494","5294194.523191","8098","613614.529628","19903","172722.506193","3825","82621.535658","31","73.35","108","1027.850426","4","28","556","32064.853196","3863","84957.538101","8082","123652.988885"
"      桃園市","52438","1400886.529535","707","13471.457064","250","4667.09762","18477","898855.891714","194","35787.67203","477","6697.8553","9231","73106.074012","7585","45242.295536","1118","151623.03364","288","2389.073888","1244","9580.146275","1820","34306.062068","2634","48631.375682","3294","37198.294168","1393","11598.768688","15","12.5","27","115.066","3","25","228","4681.32518","939","4616.743826","2514","18280.796844"
"      臺中市","85598","1564056.255175","1418","36725.133371","464","10650.28809","29304","728196.703055","290","16927.297608","423","140824.608109","12159","99047.309893","14883","73879.288514","1494","37374.72608","639","7824.489888","2284","18965.13849","3200","196371.316629","4179","110741.666866","6073","27040.33725","2062","16452.478826","17","30.99","42","161.219","7","34.2","302","3829.2","1761","10891.200052","4597","28088.663454"
"      臺南市","32895","828677.114393","656","75467.20442","229","7151.7005","12136","462666.771998","153","10966.56035","194","1792.481","4285","47978.216833","5671","53288.601231","622","12331.27373","216","1963.227","722","5925.442968","1445","72187.756297","1622","32863.308615","1701","9223.095976","718","5280.302067","4","0.71","17","39.02","3","18","93","3552.2792","516","3224.883058","1892","22756.27915"
"      高雄市","80048","1726043.433254","2408","42699.944363","630","17426.832817","17590","896561.151766","286","17342.98987","750","6384.426306","15230","116219.370442","16896","103831.432516","2576","79700.747639","2477","16808.051858","1734","18978.0724","3142","136525.788088","3514","99487.621588","4730","20955.401239","1870","99169.991066","14","45.301","31","268.499","8","18.55","260","13708.420028","1231","7378.31065","4671","32532.530618"
"      宜蘭縣","5382","75702.561952","267","4247.858918","173","6743.932179","1307","26513.907969","32","975.73","27","266.03","1037","12041.60591","674","3135.37021","182","4807.26","88","1040.718","92","2344.241888","120","1066.8568","526","6331.045888","263","931.492","193","1371.879","1","1","3","11.2","2","4","44","690.9872","97","514.72112","254","2662.72487"
"      新竹縣","10726","506833.593608","223","9349.06552","89","1230.5998","3603","373545.379686","67","40502.06007","58","323.132","2188","18745.761198","1139","9280.15777","155","3814.041","74","417.7165","276","4898.110225","534","11331.316363","653","10627.243623","724","15051.834732","271","2219.807068","1","1","4","16.59","2","2","36","433.58534","231","1261.54543","398","3782.647283"
