,,,,,,,,,,,,,
經濟部商業司公開資料供應清單,,,,,,,,,,,,,
,,,,,,,,,,,,,
製表日期：2015/04/26,,,,,,,,,,,,,
編號,資料集名稱,資料集描述,資料集類型,分類,主要欄位說明,授權方式,授權網址,編碼格式,計費方式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集提供機關聯絡人電子郵件,備註
1,公司行號營業項目代碼表,資料來源:公司行號營業項目代碼表檢索系統,Services,公司資料,大類、大類名稱、中類、中類名稱、小類、小類名稱、營業項目代碼、營業項目、定義內容,依經濟部商工行政資料開放平台資料使用規範,無,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,
2,公司登記現有家數及實收資本額－按行業別及縣市別,公司登記現有家數及實收資本額－按行業別及縣市別,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、農、林、漁、牧業、礦業及土石採取業、製造業、電力及燃氣供應業、用水供應及污染整治業、營造業、批發及零售業、運輸及倉儲業、住宿及餐飲業、資訊及通訊傳播業、金融及保險業、不動產業、專業、科學及技術服務業、支援服務業、公共行政及國防、強制性社會安全、教育服務業、醫療保健及社會工作服務業、藝術、娛樂及休閒服務業、其他服務業、未分類),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
3,公司登記現有家數及實收資本額－按行業別及申登機關別分,公司登記現有家數及實收資本額－按行業別及申登機關別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、農、林、漁、牧業、礦業及土石採取業、製造業、電力及燃氣供應業、用水供應及污染整治業、營造業、批發及零售業、運輸及倉儲業、住宿及餐飲業、資訊及通訊傳播業、金融及保險業、不動產業、專業、科學及技術服務業、支援服務業、公共行政及國防、強制性社會安全、教育服務業、醫療保健及社會工作服務業、藝術、娛樂及休閒服務業、其他服務業、未分類),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
4,公司登記現有家數及實收資本額－按行業別分,公司登記現有家數及實收資本額－按行業別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(一百萬元以下、一百萬元以上未滿五百萬元、五百萬元以上未滿一千萬元、一千萬元以上未滿二千萬元、二千萬元以上未滿三千萬元、三千萬元以上未滿四千萬元、四千萬元以上未滿五千萬元、五千萬元以上未滿一億元、一億元以上未滿五億元、五億元以上),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
5,公司登記現有家數及實收資本額－按組織別及縣市別分,公司登記現有家數及實收資本額－按組織別及縣市別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、無　限公司、兩合公司、有限公司、股份有限公司、外國公司在臺認許公司、大陸地區在臺許可公司、外國公司代表、人辦事處、大陸地區在臺許可辦事處),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
6,公司登記現有家數及實收資本額－按組織別及行業別分,公司登記現有家數及實收資本額－按組織別及行業別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、無　限公司、兩合公司、有限公司、股份有限公司、外國公司在臺認許公司、大陸地區在臺許可公司、外國公司代表、人辦事處、大陸地區在臺許可辦事處),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
7,公司登記家數及實收資本額異動─按行業別分,公司登記家數及實收資本額異動─按行業別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(上月底、新設立、解散、撤銷及廢止、增資、減資、行業變動、異動調整、本月底),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
8,公司登記家數及實收資本額異動─按縣市別分,公司登記家數及實收資本額異動─按縣市別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(上月底、新設立、解散、撤銷及廢止、增資、減資、行業變動、異動調整、本月底),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
9,公司登記家數及實收資本額異動─按申登機關別分,公司登記家數及實收資本額異動─按申登機關別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(上月底、新設立、解散、撤銷及廢止、增資、減資、行業變動、異動調整、本月底),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
10,公司登記新設立家數及實收資本額－按行業別及縣市別分,公司登記新設立家數及實收資本額－按行業別及縣市別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、農、林、漁、牧業、礦業及土石採取業、製造業、電力及燃氣供應業、用水供應及污染整治業、營造業、批發及零售業、運輸及倉儲業、住宿及餐飲業、資訊及通訊傳播業、金融及保險業、不動產業、專業、科學及技術服務業、支援服務業、公共行政及國防、強制性社會安全、教育服務業、醫療保健及社會工作服務業、藝術、娛樂及休閒服務業、其他服務業、未分類),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
11,公司解散、撒銷及廢止家數及實收資本額－按行業別及縣巿別分,公司解散、撒銷及廢止家數及實收資本額－按行業別及縣巿別分,Raw Data,公司資料,家數、資本額（以新台幣百萬元為單位）(總計、農、林、漁、牧業、礦業及土石採取業、製造業、電力及燃氣供應業、用水供應及污染整治業、營造業、批發及零售業、運輸及倉儲業、住宿及餐飲業、資訊及通訊傳播業、金融及保險業、不動產業、專業、科學及技術服務業、支援服務業、公共行政及國防、強制性社會安全、教育服務業、醫療保健及社會工作服務業、藝術、娛樂及休閒服務業、其他服務業、未分類),依經濟部商工行政資料開放平台資料使用規範,http://data.gcis.nat.gov.tw/main/terms,UTF-8,免費,林先生,02-23212200,data.gcis@gmail.com,無
